Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2022-10-07T03:50:29",34.96,36.705,6.99,0.42,"ML",2.1,"Akdeniz - Mersin Körfezi - [06.11 km] Karataş (Adana)",533617
"2022-10-07T00:51:43",34.925,36.707,7.11,0.5,"ML",1.7,"Akdeniz - Mersin Körfezi - [06.85 km] Tarsus (Mersin)",533610
"2022-10-06T19:23:22",30.62,36.168,8.39,0.63,"ML",2.9,"Akdeniz - [24.71 km] Kumluca (Antalya)",533596
"2022-10-06T05:28:55",30.591,36.148,8.94,0.65,"ML",2.3,"Akdeniz - [24.76 km] Kumluca (Antalya)",533577
"2022-10-05T21:27:37",31.871,34.738,8.49,0.69,"ML",2.6,"Akdeniz - [164.15 km] Gazipaşa (Antalya)",533549
"2022-10-02T01:50:43",30.928,35.748,7.34,0.91,"ML",2,"Akdeniz - [78.58 km] Kumluca (Antalya)",533274
"2022-09-30T14:37:07",30.721,36.161,6.09,0.97,"ML",1.9,"Akdeniz - [32.05 km] Kumluca (Antalya)",533175
"2022-09-26T09:34:08",36.064,36.661,7,0.68,"ML",1.8,"Akdeniz - İskenderun Körfezi - [11.35 km] İskenderun (Hatay)",532773
"2022-09-24T14:57:19",35.868,36.5,7,0.31,"ML",1.4,"Akdeniz - İskenderun Körfezi - [08.72 km] Arsuz (Hatay)",532638
"2022-09-22T18:24:18",31.6866,36.51,7.1,0.17,"ML",2.1,"Akdeniz - Antalya Körfezi - [15.55 km] Alanya (Antalya)",532558
"2022-09-18T09:50:54",31.763,35.0066,8.05,0.6,"ML",3.5,"Akdeniz - [140.96 km] Gazipaşa (Antalya)",532360
"2022-09-08T20:59:40",30.0103,36.006,6.39,0.36,"ML",1.5,"Akdeniz - [25.54 km] Demre (Antalya)",531803
"2022-09-06T20:15:05",31.7133,34.9828,4.67,0.33,"ML",1.8,"Akdeniz - [145.37 km] Gazipaşa (Antalya)",531705
"2022-09-03T04:22:16",31.074,36.7663,6.99,0.56,"ML",2.2,"Akdeniz - Antalya Körfezi - [10.86 km] Serik (Antalya)",531411
"2022-09-02T15:24:39",35.8316,36.1353,7,0.11,"ML",2,"Akdeniz - [09.38 km] Samandağ (Hatay)",531380
"2022-08-30T18:34:47",31.4953,35.2378,6.38,0.62,"ML",3,"Akdeniz - [133.00 km] Gazipaşa (Antalya)",531075
